Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Current u.s state of residence,Harmful content,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6697e343a6505b0dcd6d1db0,5e8fa74118ca6c2b7dab7b7e,APPROVED,Not Applicable,2024-07-17T15:32:28.493000Z,2024-07-17T16:18:04.615000Z,2024-07-23T14:24:14.455000Z,2024-07-17T16:18:17.225171Z,2737.0,CVWBBA5S,1046,English,Illinois (IL),Yes,43,Female,Black,United States,United States,United States,English,No,Full-Time
6697e4dfb80bca81a72b9a68,6640f177729428aa56c73cb4,APPROVED,Not Applicable,2024-07-17T15:36:07.168000Z,2024-07-17T15:58:46.301000Z,2024-07-23T14:24:15.905000Z,2024-07-17T15:59:14.570314Z,1360.0,CVWBBA5S,275,English,Texas (TX),Yes,43,Female,Black,United States,United States,United States,English,Yes,Full-Time
6697e64761d8f54b176d1da3,6644dfad85c061d1d8bb1953,APPROVED,Not Applicable,2024-07-17T15:42:08.205000Z,2024-07-17T16:33:37.112000Z,2024-07-23T14:24:17.015000Z,2024-07-17T16:36:08.648068Z,3089.0,CVWBBA5S,4,English,South Carolina (SC),Yes,37,Female,White,United States,United States,United States,English,No,Full-Time
6697e6f33c5984df79ba0a7b,60fdd69df07af0302d9ce2de,APPROVED,Not Applicable,2024-07-17T15:45:37.551000Z,2024-07-17T16:45:14.088000Z,2024-07-23T14:24:49.646000Z,2024-07-17T16:45:15.069109Z,3577.0,CVWBBA5S,844,English,Florida (FL),Yes,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66a40e33b4e14aebf6635f68,5dd42e7f35cf744223c60d1b,AWAITING REVIEW,Not Applicable,2024-07-26T20:59:39.119000Z,2024-07-26T21:16:03.300000Z,,2024-07-26T21:16:49.058470Z,985.0,CVWBBA5S,8514,English,West Virginia (WV),Yes,45,Male,White,United States,United States,United States,English,No,Full-Time
66a40e7223f00d439adc5f38,5e5593e29a302e59cb575f46,AWAITING REVIEW,Not Applicable,2024-07-26T21:00:40.342000Z,2024-07-26T21:35:05.510000Z,,2024-07-26T21:35:41.659219Z,2066.0,CVWBBA5S,1920,"English, Spanish",California (CA),Yes,51,Female,White,United States,United States,United States,English,No,Full-Time
66a40e76090f41cb97138106,5de831cad4995d000c5fb540,AWAITING REVIEW,Not Applicable,2024-07-26T21:00:43.433000Z,2024-07-26T21:15:06.854000Z,,2024-07-26T21:16:34.732924Z,864.0,CVWBBA5S,6753,"English, Lithuanian",Georgia (GA),Yes,63,Male,White,United States,United States,United States,Lithuanian,No,Full-Time
66a40e7fe00ed00dbb0ff85e,5e2926d80beb030ede110e67,AWAITING REVIEW,Not Applicable,2024-07-26T21:00:56.710000Z,2024-07-26T21:25:02.961000Z,,2024-07-26T21:25:32.593333Z,1447.0,CVWBBA5S,5158,English,Arizona (AZ),Yes,51,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66a41c759431f9e9149ce42e,60ddfe929fff846f04cd2c95,AWAITING REVIEW,Not Applicable,2024-07-26T22:00:26.145000Z,2024-07-26T22:39:41.335000Z,,2024-07-26T22:39:42.416124Z,2356.0,CVWBBA5S,1084,"Albanian, English",Kansas (KS),Yes,35,Female,White,United States,United States,United States,English,No,Full-Time
66a41c774f5b481483d343cc,65c1512b51dc8b722a7fe306,AWAITING REVIEW,Not Applicable,2024-07-26T22:01:11.291000Z,2024-07-26T22:29:17.711000Z,,2024-07-26T22:29:18.281975Z,1687.0,CVWBBA5S,847,English,North Carolina (NC),Yes,36,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
66a41c77c6221a15c05d5e2e,5e64393b2a0d161c7c02126c,AWAITING REVIEW,Not Applicable,2024-07-26T22:00:38.151000Z,2024-07-26T22:28:31.897000Z,,2024-07-26T22:28:32.515175Z,1674.0,CVWBBA5S,4258,"English, Spanish",New York (NY),Yes,37,Female,Mixed,United States,United States,United States,English,No,Full-Time
66a41c785ace224f6563625b,629e4d79be0e1ecd4ce30ab4,AWAITING REVIEW,Not Applicable,2024-07-26T22:08:15.795000Z,2024-07-26T22:52:32.480000Z,,2024-07-26T22:52:33.214911Z,2657.0,CVWBBA5S,3778,English,Utah(UT),Yes,26,Male,White,United States,United States,United States,English,No,Full-Time
6697e61e12441bc969ed067b,6667effb1d508a29fb7a067c,RETURNED,Not Applicable,2024-07-17T15:41:29.020000Z,,,,,,42,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
